630 8TH AVE SW	GRAYSVILLE	35073	7TH ST SW / 6TH ST SW	GRAYSVILLE FD	GRAYSVILLE FD	425	1. ADAMSVILLE FD | 2. WEST JEFFERSON FD | 3. BROOKSIDE FD | 4. FORESTDALE FD | 5. BAGLEY FD
630 9TH CT S	BIRMINGHAM	35205	7TH ST S / 6TH ST	BIRMINGHAM FD	0704	469	1. HOMEWOOD FD
630 ALLIANCE RD	UNINCORPORATED	35023	BUDDY VINES CAMP RD / MARK GLAZE DR	UNINCORPORATED FD	BIRMINGPORT_FD_1	497	1. BIRMINGPORT FD | 2. CONCORD FD | 3. BIRMINGHAM FD | 4. WARRIOR RIVER FD | 5. SYLVAN SPRINGS FD | 6. WEST JEFFERSON FD
630 ASBERRY ST	UNINCORPORATED	35020	HOLLY AVE & POTTER AVE / EASTERN VALLEY RD & POTTER RD	EASTERN VALLEY FD	EVFD_1	487	1. BESSEMER FD | 2. MCADORY FD
630 AVENUE F	BIRMINGHAM	35214	VERIFY - CROSS STREETS UNAVAILABLE	BIRMINGHAM FD	1802	415	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
630 BASSWOOD DR	ADAMSVILLE	35005	DENNISTON LN / RIVERHALL RD	ADAMSVILLE FD	ADAMSVILLE_FD	415	1. FORESTDALE FD | 2. SHADY GROVE FD | 3. MULGA FD | 4. GRAYSVILLE FD | 5. MINOR FD | 6. MAYTOWN FD | 7. BIRMINGHAM FD | 8. BROOKSIDE FD | 9. WEST JEFFERSON FD
630 BEASLEY RD	GARDENDALE	35071	MEADOWOOD DR / GAMBLE CIR	GARDENDALE FD	GARDENDALE_FD	421	1. MOUNT OLIVE FD | 2. BROOKSIDE FD | 3. GLENNWOOD FD | 4. MORRIS FD | 5. FULTONDALE FD | 6. FORESTDALE FD
630 BELL ST	BESSEMER	35020	KYSER ST / PUBLIC ALY	BESSEMER FD	BESSEMER_FD	487	1. EASTERN VALLEY FD | 2. BIRMINGHAM FD | 3. HUEYTOWN FD | 4. LIPSCOMB FD | 5. BRIGHTON FD | 6. MCADORY FD | 7. HOOVER FD | 8. MCCALLA FD | 9. INDIAN FORD FD
630 BELVIEW ST	UNINCORPORATED	35020	HOLLY AVE & SADLER AVE / 2ND ST & POTTER AVE	EASTERN VALLEY FD	EVFD_1	487	1. BESSEMER FD | 2. MCADORY FD
630 BISCAYNE DR	BIRMINGHAM	35206	HICKORY ST / BARCLAY LN & CAROLYN CT	BIRMINGHAM FD	2701	447	1. IRONDALE FD
630 BOLIN ST	BIRMINGHAM	35211	7TH AVE SW / 6TH AVE SW	BIRMINGHAM FD	2106	VERIFY - NO BEAT MATCH	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
630 BRANDY DR	UNINCORPORATED	35173	OLD SPRINGVILLE RD / JANET DR	CENTER POINT FD	CPFD_6	444	1. TRUSSVILLE FD | 2. PALMERDALE FD
630 BRIARWOOD DR	BESSEMER	35022	9TH AVE SW / 9TH AVE SW & VISIONLAND PKWY	BESSEMER FD	BESSEMER_FD	487	1. EASTERN VALLEY FD | 2. HUEYTOWN FD | 3. MCADORY FD | 4. MCCALLA FD | 5. BIRMINGHAM FD | 6. BRIGHTON FD | 7. LIPSCOMB FD | 8. HOOVER FD | 9. INDIAN FORD FD
630 BROKEN BOW CIR	UNINCORPORATED	35214	IROQUOIS DR & TOMAHAWK RD	FORESTDALE FD	FORESTDALE_FD	416	1. BIRMINGHAM FD | 2. ADAMSVILLE FD | 3. BROOKSIDE FD | 4. GRAYSVILLE FD | 5. MOUNT OLIVE FD | 6. GARDENDALE FD
630 BRUNSON AVE	BIRMINGHAM	35206	BELVOIR DR / BEL AIRE DR	BIRMINGHAM FD	2911	441	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
630 CAMDEN RDG	HOMEWOOD	35226	VERIFY - CROSS STREETS UNAVAILABLE	HOMEWOOD FD	HOMEWOOD_FD	469	1. BIRMINGHAM FD | 2. HOOVER FD | 3. ROCKY RIDGE FD | 4. MOUNTAIN BROOK FD
630 CAMP CIR	BIRMINGHAM	35215	DALTON AVE / ROBISON DR	BIRMINGHAM FD	2702	441	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
630 CANDLE LN	BIRMINGHAM	35214	HUNTINGTON DR / BROOKFIELD LN	BIRMINGHAM FD	1804	417	1. FORESTDALE FD
630 COOPER DR	UNINCORPORATED	35006	PUBLIC ALY / TERRY DR	WARRIOR RIVER FD	WRFD	497	1. BIRMINGPORT FD | 2. CONCORD FD
630 CROCKER RD	SYLVAN SPRINGS	35118	ASH DR & BIRMINGPORT RD	SYLVAN SPRINGS FD	SSFD_1	498	1. BIRMINGHAM FD | 2. MAYTOWN FD | 3. SHADY GROVE FD | 4. BIRMINGPORT FD
630 DANA RD	UNINCORPORATED	35180	BURNS LOOP / DANA CIR	NO FIRE COVERAGE	COUNTY NO FD	420	1. WARRIOR FD | 2. CANE CREEK FD | 3. KIMBERLY FD | 4. MOUNT OLIVE FD | 5. CORNER FD | 6. MORRIS FD | 7. GARDENDALE FD | 8. PALMERDALE FD | 9. GLENNWOOD FD | 10. COUNTY LINE FD | 11. BAGLEY FD | 12. FULTONDALE FD | 13. GRAYSVILLE FD | 14. BROOKSIDE FD | 15. BIRMINGHAM FD | 16. ADAMSVILLE FD | 17. CARDIFF FD | 18. FORESTDALE FD | 19. TARRANT FD | 20. WEST JEFFERSON FD | 21. TRUSSVILLE FD | 22. SHADY GROVE FD | 23. IRONDALE FD | 24. MINOR FD | 25. MAYTOWN FD | 26. MULGA FD | 27. ARGO FD | 28. SYLVAN SPRINGS FD | 29. PLEASANT GROVE FD | 30. MOUNTAIN BROOK FD | 31. BIRMINGPORT FD | 32. REX LAKE FD | 33. FAIRFIELD FD | 34. HOMEWOOD FD | 35. ROCKY RIDGE FD | 36. MIDFIELD FD | 37. CONCORD FD | 38. HOOVER FD | 39. HUEYTOWN FD | 40. BRIGHTON FD | 41. BESSEMER FD | 42. LIPSCOMB FD | 43. WARRIOR RIVER FD | 44. ADGER FD | 45. EASTERN VALLEY FD | 46. MCCALLA FD | 47. HELENA FD | 48. MCADORY FD | 49. INDIAN FORD FD | 50. LAKEVIEW FD
630 DARDEN LN	UNINCORPORATED	35006	PUBLIC ALY & YEARGIN LN / CHARLES LOOP & PUBLIC ALY	WARRIOR RIVER FD	WRFD	497	1. BIRMINGPORT FD | 2. CONCORD FD
630 DARLENE DR	FULTONDALE	35217	MELBA LN / LUAL DR	FULT ST	FULT_ST1	435	1. FULTONDALE FD | 2. GARDENDALE FD | 3. TARRANT FD | 4. BIRMINGHAM FD | 5. GLENNWOOD FD
630 DELTA ST	BIRMINGHAM	35205	PUBLIC ALY / 6TH AVE S	BIRMINGHAM FD	0208	469|487	NONE - NO OUTSIDE FIRE JURISDICTION TOUCHES THIS RESPONSE QUAD
630 DELTA ST	UNINCORPORATED	35020	SADLER AVE / SPARKS AVE	EASTERN VALLEY FD	EVFD_1	469|487	1. BESSEMER FD | 2. MCADORY FD
630 DOGWOOD TER	UNINCORPORATED	35094	VERIFY - CROSS STREETS UNAVAILABLE	REX LAKE FD (SHELBY COUNTY)	REX_LAKE_FD	465	1. BIRMINGHAM FD | 2. HOOVER FD | 3. IRONDALE FD
630 DUNBAR CT	BESSEMER	35020	7TH AVE N / 5TH AVE N	BESSEMER FD	BESSEMER_FD	490	1. BRIGHTON FD | 2. BIRMINGHAM FD | 3. LIPSCOMB FD | 4. HUEYTOWN FD | 5. EASTERN VALLEY FD | 6. HOOVER FD | 7. MCADORY FD | 8. MCCALLA FD | 9. INDIAN FORD FD
630 FAIRFAX AVE	BESSEMER	35020	7TH ST S / 8TH ST S	BESSEMER FD	BESSEMER_FD	487	1. EASTERN VALLEY FD | 2. BIRMINGHAM FD | 3. HUEYTOWN FD | 4. LIPSCOMB FD | 5. BRIGHTON FD | 6. HOOVER FD | 7. MCADORY FD | 8. MCCALLA FD | 9. INDIAN FORD FD
630 FAIRLAWN CIR	HUEYTOWN	35023	FAIRLAWN DR	HUEYTOWN FD	HUEYTOWN_FD	492	1. BESSEMER FD | 2. PLEASANT GROVE FD | 3. CONCORD FD | 4. BIRMINGHAM FD | 5. ADGER FD
630 FIELDSTOWN RD	GARDENDALE	35071	KERR DR / KERR DR & ODUM RD	GARDENDALE FD	GARDENDALE_FD	VERIFY - NO BEAT MATCH	1. MOUNT OLIVE FD | 2. FULTONDALE FD | 3. BROOKSIDE FD | 4. FORESTDALE FD | 5. GLENNWOOD FD | 6. MORRIS FD
630 FOREST RD	HUEYTOWN	35023	KINGSWOOD DR / W HARLEM AVE	HUEYTOWN FD	HUEYTOWN_FD	VERIFY - NO BEAT MATCH	1. PLEASANT GROVE FD | 2. BIRMINGHAM FD | 3. CONCORD FD | 4. BESSEMER FD | 5. ADGER FD
630 GAYLE ST	GARDENDALE		BERMUDA DR / ODUM RD	GARDENDALE FD	GARDENDALE_FD	421	1. MOUNT OLIVE FD | 2. FULTONDALE FD | 3. BROOKSIDE FD | 4. FORESTDALE FD | 5. GLENNWOOD FD | 6. MORRIS FD
