3001 PANORAMA EAST G	BIRMINGHAM	35215	BIRMINGHAM FD	2803	446	CENTER POINT FD | PALMERDALE FD | GLENNWOOD FD | TRUSSVILLE FD
3001 PANORAMA EAST H	BIRMINGHAM	35215	BIRMINGHAM FD	2803	446	CENTER POINT FD | PALMERDALE FD | GLENNWOOD FD | TRUSSVILLE FD
3001 PANORAMA EAST I	BIRMINGHAM	35215	BIRMINGHAM FD	2803	446	CENTER POINT FD | PALMERDALE FD | GLENNWOOD FD | TRUSSVILLE FD
3001 PANORAMA EAST J	BIRMINGHAM	35215	BIRMINGHAM FD	2803	446	CENTER POINT FD | PALMERDALE FD | GLENNWOOD FD | TRUSSVILLE FD
3001 PARK RD E	UNINCORPORATED	35127	NO FIRE COVERAGE	COUNTY NO FD	VERIFY - NO BEAT MATCH	BIRMINGHAM FD | PLEASANT GROVE FD | MINOR FD | FAIRFIELD FD
3001 PARKRIDGE DR	HOMEWOOD	35209	HOMEWOOD FD	HOMEWOOD_FD	469	BIRMINGHAM FD | MOUNTAIN BROOK FD | VESTAVIA HILLS FD | ROCKY RIDGE FD
3001 PEARSON AVE SW	BIRMINGHAM	35211	BIRMINGHAM FD	1505	469	MIDFIELD FD | FAIRFIELD FD | HOMEWOOD FD | LIPSCOMB FD
3001 PEBBLE CREEK PKWY	UNINCORPORATED	35214	FORESTDALE FD	FORESTDALE_FD	416	BIRMINGHAM FD | ADAMSVILLE FD | MINOR FD | NORTH SMITHFIELD FD
3001 PIKE RD	BIRMINGHAM	35208	BIRMINGHAM FD	1405	469	MINOR FD | FAIRFIELD FD | FORESTDALE FD | ADAMSVILLE FD
3001 PRINCE AVE	BIRMINGHAM	35208	BIRMINGHAM FD	2003	469	FAIRFIELD FD | MIDFIELD FD | MINOR FD | ADAMSVILLE FD
3001 PUMP HOUSE RD	VESTAVIA HILLS	35243	VESTAVIA FD	VESTAVIA_FD	466	VESTAVIA HILLS FD | ROCKY RIDGE FD | MOUNTAIN BROOK FD | BIRMINGHAM FD
3001 QUEENSTOWN RD	TRUSSVILLE	35173	TRUSSVILLE FD (STATION 2)	TRUSS_201	447	IRONDALE FD | BIRMINGHAM FD | LEEDS FD | CENTER POINT FD
3001 REV ABRAHAM WOODS JR BLVD	BIRMINGHAM	35203	BIRMINGHAM FD	0906	465	TARRANT FD | MOUNTAIN BROOK FD | HOMEWOOD FD | NORTH SMITHFIELD FD
3001 RICHARD ARRINGTON JR BLVD N	BIRMINGHAM	35203	BIRMINGHAM FD	0906	465	TARRANT FD | MOUNTAIN BROOK FD | NORTH SMITHFIELD FD | HOMEWOOD FD
3001 RICHLAMD DR	UNINCORPORATED	35243	ROCKY RIDGE FD (STATION 1)	RRST1_B	VERIFY - NO BEAT MATCH	HOOVER FD | VESTAVIA HILLS FD | NORTH SHELBY FD | BIRMINGHAM FD
3001 RIME VILLAGE DR	HOOVER	35216	HOOVER FD	HOOVER_FD	467	ROCKY RIDGE FD | NORTH SHELBY FD | VESTAVIA HILLS FD | BESSEMER FD
3001 RIVER BROOK LN	HOOVER	35242	HOOVER FD	HOOVER_FD	467	ROCKY RIDGE FD | BIRMINGHAM FD | VESTAVIA HILLS FD | REX LAKE FD
3001 RIVERWOOD TER	SHELBY COUNTY	35242	HOOVER FD	SHELBY COUNTY	VERIFY - NO BEAT MATCH	ROCKY RIDGE FD | VESTAVIA HILLS FD | NORTH SHELBY FD | BIRMINGHAM FD
3001 ROGERS DR	BIRMINGHAM	35228	BIRMINGHAM FD	1101	VERIFY - NO BEAT MATCH	MIDFIELD FD | LIPSCOMB FD | BRIGHTON FD | FAIRFIELD FD
3001 RYECROFT RD	MOUNTIAN BROOK	35223	MOUNTAIN FD/BROOK (AUTOMATIC AID)	MOUNTAIN_BROOK_FD	465	VESTAVIA HILLS FD | ROCKY RIDGE FD | BIRMINGHAM FD | HOMEWOOD FD
3001 SALISBURY RD	MOUNTIAN BROOK	35213	MOUNTAIN FD/BROOK (AUTOMATIC AID)	MOUNTAIN_BROOK_FD	VERIFY - NO BEAT MATCH	BIRMINGHAM FD | HOMEWOOD FD | ROCKY RIDGE FD | VESTAVIA HILLS FD
3001 SARTAIN DR	UNINCORPORATED	35005	SHADY GROVE FD	SGFD_1	415	ADAMSVILLE FD | WEST JEFFERSON FD | MAYTOWN FD | GRAYSVILLE FD
3001 SHANNON OXMOOR RD	BIRMINGHAM	35209	BIRMINGHAM FD	0401	VERIFY - NO BEAT MATCH	HOMEWOOD FD | HOOVER FD | VESTAVIA HILLS FD | ROCKY RIDGE FD
3001 SHANNON WENONAH RD	BIRMINGHAM	35022	BIRMINGHAM FD	0402	490	HOOVER FD | LIPSCOMB FD | BESSEMER FD | MIDFIELD FD
3001 SHARPSBURG CIR	IRONDALE	35213	IRONDALE FD	IRONDALE_FD	465	MOUNTAIN BROOK FD | BIRMINGHAM FD | REX LAKE FD | VESTAVIA HILLS FD
3001 SNAVELY AVE SW	BIRMINGHAM	35211	BIRMINGHAM FD	2501	469	MIDFIELD FD | FAIRFIELD FD | HOMEWOOD FD | LIPSCOMB FD
3001 SOUTH COVE DR	VESTAVIA HILLS	35216	VESTAVIA FD	VESTAVIA_FD	467	ROCKY RIDGE FD | VESTAVIA HILLS FD | HOOVER FD | NORTH SHELBY FD
3001 SUMMIT DR	FULTONDALE	35068	FULT ST	FULT_ST2	417	FULTONDALE FD | BIRMINGHAM FD | NORTH SMITHFIELD FD | FORESTDALE FD
3001 SUMMIT LN	FULTONDALE	35068	FULT ST	FULT_ST2	417	BIRMINGHAM FD | FULTONDALE FD | NORTH SMITHFIELD FD | TARRANT FD
3001 SUMMIT RIDGE DR	UNINCORPORATED	35005	FORESTDALE FD	FORESTDALE_FD	418	ADAMSVILLE FD | GRAYSVILLE FD | BROOKSIDE FD | MINOR FD
3001 SWEENEY HOLLOW PL	PINSON	35215	CENTER POINT FD	CPFD_4	445	BIRMINGHAM FD | PALMERDALE FD | TRUSSVILLE FD | GLENNWOOD FD
